MA	2500968645	00618311	Swampscott town	A	7826792	9550186	       3.022	       3.687	 42.468059	 -70.891260
MA	2500970150	00618312	Topsfield town	A	30775555	2344843	      11.883	       0.905	 42.641379	 -70.943440
MA	2500974595	00619455	Wenham town	A	19835690	1248262	       7.659	       0.482	 42.600633	 -70.883303
MA	2500977150	00618313	West Newbury town	A	34828174	3308008	      13.447	       1.277	 42.799565	 -70.964428
MA	2501102095	00619377	Ashfield town	A	103580990	650589	      39.993	       0.251	 42.520324	 -72.805606
MA	2501105560	00619378	Bernardston town	A	60580029	62134	      23.390	       0.024	 42.691844	 -72.559861
MA	2501109595	00618159	Buckland town	A	50922753	558509	      19.661	       0.216	 42.592092	 -72.788606
MA	2501112505	00619379	Charlemont town	A	67943704	1066319	      26.233	       0.412	 42.633130	 -72.854712
MA	2501114885	00618160	Colrain town	A	111593185	665699	      43.086	       0.257	 42.694731	 -72.710956
MA	2501115200	00618161	Conway town	A	97689177	417048	      37.718	       0.161	 42.508567	 -72.707159
MA	2501116670	00618162	Deerfield town	A	83922933	2719700	      32.403	       1.050	 42.517967	 -72.613139
MA	2501121780	00618163	Erving town	A	35721723	1529359	      13.792	       0.590	 42.613418	 -72.426428
MA	2501125730	00618164	Gill town	A	35665203	2669054	      13.770	       1.031	 42.624101	 -72.508607
MA	2501127100	00618166	Greenfield Town city	F	55455806	1188517	      21.412	       0.459	 42.614671	 -72.597063
MA	2501129475	00619380	Hawley town	A	78964204	124804	      30.488	       0.048	 42.575572	 -72.900789
MA	2501129650	00618167	Heath town	A	64496187	97646	      24.902	       0.038	 42.693268	 -72.823116
MA	2501135180	00618168	Leverett town	A	59027067	425597	      22.790	       0.164	 42.468898	 -72.484579
MA	2501135285	00618169	Leyden town	A	46458784	300799	      17.938	       0.116	 42.697576	 -72.627606
MA	2501142040	00618170	Monroe town	A	27680120	260815	      10.687	       0.101	 42.727772	 -72.985346
MA	2501142285	00618171	Montague town	A	78089813	3349615	      30.151	       1.293	 42.556617	 -72.517075
MA	2501145490	00618172	New Salem town	A	115922490	36075295	      44.758	      13.929	 42.458551	 -72.327191
MA	2501147835	00619381	Northfield town	A	88740952	2814933	      34.263	       1.087	 42.677091	 -72.453876
MA	2501151265	00618173	Orange town	A	90886352	2389554	      35.091	       0.923	 42.605437	 -72.292074
MA	2501158335	00618174	Rowe town	A	60706981	1511949	      23.439	       0.584	 42.695532	 -72.909148
MA	2501161135	00618175	Shelburne town	A	59985403	655947	      23.160	       0.253	 42.618650	 -72.679279
MA	2501161905	00619382	Shutesbury town	A	68657613	1576162	      26.509	       0.609	 42.456968	 -72.417244
MA	2501168400	00618176	Sunderland town	A	36830207	1348186	      14.220	       0.521	 42.466691	 -72.546751
MA	2501173265	00618177	Warwick town	A	96731081	810069	      37.348	       0.313	 42.679971	 -72.339882
MA	2501174525	00618178	Wendell town	A	82498198	969728	      31.853	       0.374	 42.556310	 -72.407148
MA	2501179110	01729674	Whately town	A	52201695	1318511	      20.155	       0.509	 42.430995	 -72.642437
MA	2501300840	00618180	Agawam Town city	F	60440906	2564321	      23.336	       0.990	 42.064731	 -72.653477
MA	2501306085	00619383	Blandford town	A	133580807	4837552	      51.576	       1.868	 42.190191	 -72.954263
MA	2501308470	00619384	Brimfield town	A	90060883	1415810	      34.773	       0.547	 42.128176	 -72.205352
MA	2501313485	00619385	Chester town	A	94763114	1498391	      36.588	       0.579	 42.274187	 -72.943384
MA	2501313660	00618181	Chicopee city	F	59140442	2691137	      22.834	       1.039	 42.175668	 -72.572257
MA	2501319645	00618182	East Longmeadow town	A	33504925	181924	      12.936	       0.070	 42.062378	 -72.498111
MA	2501326675	00618183	Granville town	A	109598643	2080866	      42.316	       0.803	 42.087356	 -72.908350
MA	2501328075	00618184	Hampden town	A	50779425	89778	      19.606	       0.035	 42.071188	 -72.417718
MA	2501330665	00618185	Holland town	A	31832963	1990946	      12.291	       0.769	 42.046799	 -72.180144
MA	2501330840	00619386	Holyoke city	F	55069485	4074018	      21.262	       1.573	 42.211656	 -72.642448
MA	2501336300	00618186	Longmeadow town	A	23541439	1343980	       9.089	       0.519	 42.047565	 -72.571130
MA	2501337175	00618187	Ludlow town	A	70461429	2938663	      27.205	       1.135	 42.183577	 -72.457812
MA	2501342145	00618188	Monson town	A	114510946	1473581	      44.213	       0.569	 42.093596	 -72.321494
MA	2501342530	00618189	Montgomery town	A	38725598	306193	      14.952	       0.118	 42.220395	 -72.834999
MA	2501352144	00619387	Palmer Town city	F	81797257	1086433	      31.582	       0.419	 42.187794	 -72.308469
